熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,熱點緯度(Latitude),熱點經度(Longitude)
tainan熱點,官田區東西庄社區關懷據點,社區發展,103,官田區,東庄里,720臺南市官田區東庄里130號,23.1823334,120.3003035
tainan熱點,東山區東中里關懷據點,社區發展,103,東山區,東中里,733臺南市東山區東中里福安街2號,23.3186938,120.4001353
tainan熱點,東區東光里關懷據點,社區發展,103,東區,東光里,701臺南市東區東光里東光路一段39-1號,22.9915576,120.2307921
tainan熱點,南化區玉山社區關懷據點,社區發展,103,南化區,玉山里,716臺南市南化區玉山里65號,23.0913916,120.5394232
tainan熱點,南區大恩社區關懷據點,社區發展,103,南區,大恩里,702臺南市南區大恩里大同路二段750巷186號,22.9770454,120.2127899
tainan熱點,南區明興社區關懷據點,社區發展,103,南區,明興里,702臺南市南區明興里德興路88號,22.9652114,120.1923945
tainan熱點,南區國宅社區關懷據點,社區發展,103,南區,國宅里,702臺南市南區國宅里金華路二段33巷81號,22.9770796,120.1885211
tainan熱點,後壁區長安社區關懷據點,社區發展,103,後壁區,長安里,731臺南市後壁區長安里中寮105-1號,23.332633,120.356159
tainan熱點,柳營區人和里關懷據點,社區發展,103,柳營區,人和里,736臺南市柳營區人和里柳營路三段420巷1弄2號,23.2944986,120.3135467
tainan熱點,柳營區八翁社區關懷據點,社區發展,103,柳營區,八翁里,736臺南市柳營區八翁里62-4號,23.2694095,120.2945362
tainan熱點,將軍區西和里關懷據點,社區發展,103,將軍區,西和里,725臺南市將軍區西華里130-15號,23.1982988,120.1546002
tainan熱點,將軍區將軍社區關懷據點,社區發展,103,將軍區,將軍里,725臺南市將軍區將貴里20-1號,23.216018,120.138879
tainan熱點,麻豆區油車里關懷據點,社區發展,103,麻豆區,油車里,721臺南市麻豆區油車里95號,23.1907984,120.241176
tainan熱點,麻豆區紀安社區關懷據點,社區發展,103,麻豆區,謝安里,721臺南市麻豆區謝安里1鄰謝厝寮53號,23.148727,120.2372472
tainan熱點,善化區小新社區關懷據點,社區發展,103,善化區,小新里,741臺南市善化區小新里小新營111-24號,23.122847,120.314351
tainan熱點,善化區文正社區關懷據點,社區發展,103,善化區,文正里,741臺南市善化區文正里文正路25巷18號,23.1367005,120.2863826
tainan熱點,新化區新化博愛關懷協會關懷據點,社區發展,103,新化區,護國里,712臺南市新化區護國里中山路207號,23.0363287,120.3099642
tainan熱點,新市區社內社區關懷據點,社區發展,103,新市區,社內里,744臺南市新市區社內里167之2號,23.0765802,120.2801166
tainan熱點,新市區新和里關懷據點,社區發展,103,新市區,新和里,744臺南市新市區忠孝街189號,23.0746615,120.2945089
